question_id,variation_id,variation_text
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?"
2,1,"Une fois tous les cent ans, la plante à Pipaillon produit des fleurs qui changent de parfum pour plaire à l'imprudent qu'elle souhaite attirer. Si cette plante souhaitait t'appâter, quelle odeur devrait-elle dégager ?"
2,2,"Il y a quatre boîtes devant toi. Laquelle essaies-tu d'ouvrir ?"
2,3,"Quel instrument de musique aimes-tu le plus entendre ?"
2,4,"Quatre coupes remplies d'un liquide mystérieux sont placées devant toi. Laquelle choisis-tu de boire ?"
2,5,"Tu entres dans un jardin enchanté rempli de choses mystérieuses. Laquelle préfères-tu examiner en premier lieu ?"
3,1,"Un troll a fait irruption dans le bureau du directeur de Poudlard. Il est sur le point de pulvériser, écraser et déchirer plusieurs objets et trésors irremplaçables, dont notamment un remède contre la Dragoncelle que le directeur a pratiquement fini de mettre au point, les carnets scolaires de tous les élèves de Poudlard depuis 1 000 ans et un mystérieux livre écrit à la main, comportant d'étranges textes en runes, qui a très probablement appartenu à Merlin. Dans quel ordre tentes-tu de sauver ces objets de la massue du troll si tu en as la possibilité ?"
3,2,"Que préférerais-tu ?"
3,3,"Qu'est-ce que tu as le plus de mal à supporter ?"
4,1,"Qu'est-ce que tu as le plus hâte d'apprendre à Poudlard ?"
4,2,"Si tu pouvais posséder n'importe quel pouvoir magique, lequel choisirais-tu ?"
4,3,"Quelle créature souhaiterais-tu le plus étudier ?"
5,1,"Un élève de ta maison a triché pendant les examens de Poudlard en se servant d'une plume ensorcelée. Grâce à son stratagème, il se retrouve premier de la classe en Sortilèges et tu n'es que deuxième. Le professeur Flitwick soupçonne quelque chose de louche. Il te prend à part à la fin du cours pour te demander si ton camarade a utilisé ou non une plume interdite. Que fais-tu ?"
5,2,"Quel chemin te tente le plus ?"
5,3,"Un Moldu t'aborde en pleine rue en te lançant qu'il est persuadé que tu es un sorcier ou une sorcière. Que fais-tu ?"
5,4,"Il fait nuit noire, tu marches seul(e) dans une rue mal éclairée. Soudain, tu entends un drôle de bruit dont la provenance semble magique. Que fais-tu ?"
5,5,"Deux de tes amis et toi devez traverser un pont gardé par un troll des rivières. Avant de vous laisser passer, celui-ci insiste pour se battre avec l'un de vous. Que fais-tu ?"
5,6,"Quel cauchemar te ferait le plus peur ?"
6,1,"La lune ou les étoiles ?"
6,2,"La forêt ou la rivière ?"
6,3,"L'aube ou le crépuscule ?"
7,1,"Le noir ou le blanc ?"
7,2,"La gauche ou la droite ?"
7,3,"Pile ou face ?"
